title,status,genres,favorites,popularity,rank,score,authors
Solo Leveling,Finished,"Action, Adventure, Fantasy","40,014",#7,#56,8.68,"Chugong (Story), Jang, Sung-rak (Art), Disciples (Art)"
The Horizon,Finished,"Adventure, Drama","4,047",#187,#58,8.67,"Jeong, Ji-Hoon (Story & Art)"
Wind Breaker,Publishing,"Action, Drama, Sports","2,688",#368,#94,8.58,"Jo, Yongseok (Story & Art)"
Bastard,Finished,"Drama, Horror, Mystery, Romance","6,455",#84,#140,8.5,"Kim, Carnby (Story), Hwang, Young-chan (Art)"
Who Made Me a Princess,Finished,"Comedy, Fantasy, Romance","2,648",#349,#175,8.44,"Plutus (Story), Spoon (Art)"
The Boxer,Finished,"Drama, Sports","1,218",#550,#186,8.42,"Jeong, Ji-Hoon (Story & Art)"
The Breaker,Finished,"Action, Comedy, Drama","6,188",#76,#202,8.4,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)"
Eleceed,Publishing,Action,766,#1104,#207,8.4,"Kim, Hye-Jin (Art), Son, Jae-Ho (Story)"
Tower of God,Publishing,"Action, Adventure, Drama, Fantasy, Mystery","12,007",#42,#210,8.39,SIU (Story & Art)
Omniscient Reader,Publishing,"Action, Adventure, Fantasy","4,257",#152,#211,8.39,"sing N song (Story), Sleepy-C (Art)"
The Legend of the Northern Blade,Publishing,"Action, Adventure, Fantasy",832,#648,#212,8.39,"Woogack (Story), Hae, Min (Art)"
The Breaker: New Waves,Finished,"Action, Comedy, Drama, Romance","4,292",#143,#231,8.37,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)"
Seasons of Blossom,Finished,Romance,347,#3060,#262,8.34,"Hongduck (Story), NEMONE (Art)"
After School Lessons for Unripe Apples,Publishing,Romance,208,#7070,#317,8.29,Soonkki (Story & Art)
Annarasumanara,Finished,"Drama, Mystery, Romance","2,785",#220,#319,8.28,"Ha, Il-Kwon (Story & Art)"
Sweet Home,Finished,"Action, Drama, Horror, Suspense","2,544",#209,#345,8.26,"Kim, Carnby (Story), Hwang, Young-chan (Art)"
Villains Are Destined to Die,Publishing,"Drama, Fantasy, Romance",843,#714,#355,8.24,"Gwon, Gyeoeul (Story), SUOL (Art)"
Daytime Star,Finished,Romance,113,#4839,#373,8.23,"Chae-eun (Story), Godago (Art)"
Spirit Fingers,Finished,"Comedy, Romance, Life",307,#2890,#388,8.22,"Han, Kyoung-chal (Story & Art)"
The Greatest Estate Developer,Publishing,"Adventure, Fantasy",270,#2094,#415,8.2,"Moon, Back-kyung (Story), Kim, Hyunsoo (Art)"
Your Throne,Publishing,"Drama, Fantasy, Romance",734,#848,#421,8.19,SAM (Story & Art)
